従って	1744
お父さん	1743
樹	1743
怪しい	1742
袖	1742
近所	1742
板	1741
ながめる	1740
絶対	1739
証拠	1739
友達	1738
程度	1737
勉強	1735
鏡	1735
昨日	1735
に関する	1734
古	1734
よし	1733
父親	1732
良い	1731
節	1730
何事	1730
狭い	1729
帯	1725
靴	1723
しきりに	1722
別れる	1717
過去	1715
2	1714
叔父	1714
大阪	1714
機械	1714
兵	1713
根	1712
弱い	1712
大いに	1710
落す	1709
おそらく	1707
駕	1706
重	1705
論理	1704
表情	1703
認識	1702
明らか	1701
謂	1700
決心	1700
旅行	1699
一言	1699
湯	1699
びっくり	1698
含む	1697
起こる	1696
方面	1694
端	1694
すむ	1690
利く	1690
在る	1688
現れる	1686
牛	1684
触れる	1684
助ける	1683
それぞれ	1682
種々	1679
あんた	1677
池	1675
師匠	1675
警察	1673
毛	1671
下す	1669
座	1667
何とも	1664
段	1663
とかいう	1662
希望	1660
左右	1657
塔	1656
歯	1656
そりゃ	1655
その間	1654
跡	1653
うれしい	1651
意外	1647
たび	1647
ふ	1645
飯	1644
灯	1644
闇	1642
による	1641
中心	1640
心理	1638
立場	1638
形式	1637
由	1636
読者	1633
本質	1631
見出す	1631
うしろ	1630
ゆえ	1629
糸	1628
蔵	1628
会社	1627
親切	1627
見物	1627
用意	1626
直す	1626
ひとつ	1624
それとも	1624
大丈夫	1623
鬼	1623
ゆっくり	1623
了	1621
かつ	1620
昨夜	1619
宗教	1618
全然	1617
太	1616
借りる	1615
願う	1614
社	1612
映画	1610
洗う	1608
並べる	1603
条件	1602
奥さん	1601
叩く	1601
迎える	1601
棒	1600
個	1600
要求	1599
源氏	1595
きまる	1594
手前	1594
翌日	1588
暮す	1588
偶然	1587
帽子	1585
組	1585
北	1584
投げる	1581
出	1580
病院	1579
政府	1578
こ	1577
計画	1576
直接	1576
沈む	1576
ちがい	1575
実験	1572
気持ち	1572
喰う	1571
完全	1569
鋭い	1569
それだけ	1566
附く	1565
大衆	1563
疲れる	1562
迄	1561
ちっとも	1561
匹	1560
なんだか	1558
充分	1557
報告	1556
そ	1555
すら	1555
伝える	1554
区別	1553
正直	1553
現	1552
ずいぶん	1550
こんど	1546
動物	1546
京都	1546
お金	1545
短い	1544
-	1543
青	1541
何と	1541
かつて	1540
物語	1540
夕方	1539
団	1538
正しい	1537
邸	1536
出発	1535
踏む	1535
及び	1534
膳	1533
笑い	1533
組織	1532
挙げる	1531
前後	1530
